time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-21 00:00:00+00:00,0,0,15,3
2023-11-22 00:00:00+00:00,0,0,15,6
2023-11-23 00:00:00+00:00,0,0,15,5
2023-11-24 00:00:00+00:00,0,0,22,2
2023-11-25 00:00:00+00:00,2,1,0,0
2023-11-27 00:00:00+00:00,0,0,29,3
2023-11-28 00:00:00+00:00,0,0,87,9
2023-11-29 00:00:00+00:00,0,0,4,3
2023-11-30 00:00:00+00:00,3,2,17,2
2023-12-02 00:00:00+00:00,0,0,3,1
2023-12-03 00:00:00+00:00,0,0,18,2
2023-12-04 00:00:00+00:00,1,1,45,4
2023-12-05 00:00:00+00:00,11,7,96,4
2023-12-06 00:00:00+00:00,9,7,82,6
2023-12-07 00:00:00+00:00,2,2,67,9
